"Model","Exam","N_questions","N_correct","Accuracy"
"Grok43","ACTM",25,21,0.84
"Claude46","ACTM",25,18,0.72
"GPT54-nano","ACTM",25,18,0.72
"Gemini31","ACTM",25,18,0.72
"Grok41","ACTM",25,18,0.72
"Claude37","ACTM",25,17,0.68
"Claude4","ACTM",25,17,0.68
"GPT4o","ACTM",25,17,0.68
"GPT54","ACTM",25,17,0.68
"GPT54-mini","ACTM",25,17,0.68
"Gemini20","ACTM",25,17,0.68
"GPT5","ACTM",25,16,0.64
"Gemini25","ACTM",25,15,0.6
"Grok2-vision","ACTM",25,15,0.6
"GPT51","ACTM",25,13,0.52
"Gemini31","CAOS",40,33,0.825
"GPT54","CAOS",40,32,0.8
"Grok43","CAOS",40,31,0.775
"GPT51","CAOS",40,30,0.75
"GPT5","CAOS",40,29,0.725
"GPT54-mini","CAOS",40,29,0.725
"Gemini25","CAOS",40,29,0.725
"Grok41","CAOS",40,29,0.725
"GPT4o","CAOS",40,28,0.7
"Claude4","CAOS",40,27,0.675
"Claude46","CAOS",40,27,0.675
"Claude37","CAOS",40,26,0.65
"GPT54-nano","CAOS",40,26,0.65
"Grok2-vision","CAOS",40,25,0.625
"Gemini20","CAOS",40,19,0.475
"GPT4o","GE",8,6,0.75
"Grok2-vision","GE",8,6,0.75
"Claude4","GE",8,5,0.625
"Claude46","GE",8,5,0.625
"GPT51","GE",8,5,0.625
"GPT54","GE",8,5,0.625
"GPT54-mini","GE",8,5,0.625
"GPT54-nano","GE",8,5,0.625
"Gemini25","GE",8,5,0.625
"Gemini31","GE",8,5,0.625
"Grok41","GE",8,5,0.625
"Grok43","GE",8,5,0.625
"Claude37","GE",8,4,0.5
"GPT5","GE",8,4,0.5
"Gemini20","GE",8,4,0.5
