"Model_A","Model_B","Mean_Similarity","Median_Similarity","N_pairs"
"claude-3-7-sonnet","claude-sonnet-4",0.648879323264908,0.683732109197016,90
"claude-3-7-sonnet","claude-sonnet-4-6",0.580258086037555,0.601953089698444,90
"claude-3-7-sonnet","gemini-2.0-flash-lite",0.479440602456145,0.555901098011044,90
"claude-3-7-sonnet","gemini-2.5-flash-lite",0.601039184149037,0.622884982058342,90
"claude-3-7-sonnet","gemini-3.1-flash-lite-preview",0.527403079475775,0.54512970510104,90
"claude-3-7-sonnet","gpt-4o",0.586982954058804,0.616750709400658,90
"claude-3-7-sonnet","gpt-5",0.404736631341495,0.424223387027537,90
"claude-3-7-sonnet","gpt-5-4",0.552327596978813,0.569749057068156,90
"claude-3-7-sonnet","gpt-5.1",0.495027763316838,0.507524053864553,90
"claude-3-7-sonnet","gpt-5.4-mini",0.53001761388394,0.553862636472478,90
"claude-3-7-sonnet","gpt-5.4-nano",0.490170924624808,0.510711717642766,90
"claude-3-7-sonnet","grok-2-vision",0.606472870943534,0.63082151908377,90
"claude-3-7-sonnet","grok-4-1",0.450341685427611,0.442269143316186,90
"claude-3-7-sonnet","grok-4.3",0.402945519608851,0.397267860587306,90
"claude-sonnet-4","claude-sonnet-4-6",0.61315837608742,0.631044138742045,90
"claude-sonnet-4","gemini-2.0-flash-lite",0.462954457332755,0.520791026449664,90
"claude-sonnet-4","gemini-2.5-flash-lite",0.611603849379577,0.625772776310844,90
"claude-sonnet-4","gemini-3.1-flash-lite-preview",0.548621969342566,0.54581405123681,90
"claude-sonnet-4","gpt-4o",0.58716776009217,0.584354873451241,90
"claude-sonnet-4","gpt-5",0.4178322812345,0.426833502930677,90
"claude-sonnet-4","gpt-5-4",0.542742211706836,0.558103577441725,90
"claude-sonnet-4","gpt-5.1",0.518482457918207,0.520787376130904,90
"claude-sonnet-4","gpt-5.4-mini",0.537921416169057,0.560617577304582,90
"claude-sonnet-4","gpt-5.4-nano",0.495886744594105,0.492549561864308,90
"claude-sonnet-4","grok-2-vision",0.609027694204183,0.621680457622678,90
"claude-sonnet-4","grok-4-1",0.484859735282954,0.48561758961161,90
"claude-sonnet-4","grok-4.3",0.402221781886384,0.402597731756735,90
"claude-sonnet-4-6","gemini-2.0-flash-lite",0.417250320647219,0.486161182339784,90
"claude-sonnet-4-6","gemini-2.5-flash-lite",0.587468682680277,0.570367503232941,90
"claude-sonnet-4-6","gemini-3.1-flash-lite-preview",0.557573827394721,0.559711607480377,90
"claude-sonnet-4-6","gpt-4o",0.532528711623165,0.51329245947855,90
"claude-sonnet-4-6","gpt-5",0.39949373468464,0.414629941686389,90
"claude-sonnet-4-6","gpt-5-4",0.557067103131899,0.563015900736618,90
"claude-sonnet-4-6","gpt-5.1",0.510954527092772,0.510509217841592,90
"claude-sonnet-4-6","gpt-5.4-mini",0.531636401635641,0.557563136016661,90
"claude-sonnet-4-6","gpt-5.4-nano",0.500594377609667,0.507051664546335,90
"claude-sonnet-4-6","grok-2-vision",0.557059567770492,0.575531359494842,90
"claude-sonnet-4-6","grok-4-1",0.490485823441536,0.495419201981798,90
"claude-sonnet-4-6","grok-4.3",0.436330629642311,0.428035297445013,90
"gemini-2.0-flash-lite","gemini-2.5-flash-lite",0.485196421971703,0.554259751749769,90
"gemini-2.0-flash-lite","gemini-3.1-flash-lite-preview",0.412231361520804,0.454440111754172,90
"gemini-2.0-flash-lite","gpt-4o",0.451382030015152,0.521429880055825,90
"gemini-2.0-flash-lite","gpt-5",0.319738020931974,0.326668987354864,90
"gemini-2.0-flash-lite","gpt-5-4",0.411992899658885,0.485252713659954,90
"gemini-2.0-flash-lite","gpt-5.1",0.375742361909684,0.421703414541958,90
"gemini-2.0-flash-lite","gpt-5.4-mini",0.407852894005481,0.466296276969452,90
"gemini-2.0-flash-lite","gpt-5.4-nano",0.366488190623119,0.394668715650178,90
"gemini-2.0-flash-lite","grok-2-vision",0.485731460602828,0.549592755404492,90
"gemini-2.0-flash-lite","grok-4-1",0.319673075345543,0.341042628631399,90
"gemini-2.0-flash-lite","grok-4.3",0.303752105585163,0.314000055698461,90
"gemini-2.5-flash-lite","gemini-3.1-flash-lite-preview",0.575623471129018,0.575442733125985,90
"gemini-2.5-flash-lite","gpt-4o",0.591144150903512,0.584846121828749,90
"gemini-2.5-flash-lite","gpt-5",0.380318803873778,0.404603909926676,90
"gemini-2.5-flash-lite","gpt-5-4",0.566995901210985,0.571876477651508,90
"gemini-2.5-flash-lite","gpt-5.1",0.51883494254184,0.524524873296646,90
"gemini-2.5-flash-lite","gpt-5.4-mini",0.544645807584658,0.551741429122073,90
"gemini-2.5-flash-lite","gpt-5.4-nano",0.546211597101824,0.56184446737396,90
"gemini-2.5-flash-lite","grok-2-vision",0.650911892292097,0.64715966946824,90
"gemini-2.5-flash-lite","grok-4-1",0.471460602763994,0.462558914252265,90
"gemini-2.5-flash-lite","grok-4.3",0.433736200579717,0.419193198375736,90
"gemini-3.1-flash-lite-preview","gpt-4o",0.528979523505176,0.530216850591716,90
"gemini-3.1-flash-lite-preview","gpt-5",0.365640463877733,0.374679169896382,90
"gemini-3.1-flash-lite-preview","gpt-5-4",0.509369812341743,0.508717919643185,90
"gemini-3.1-flash-lite-preview","gpt-5.1",0.471551359464177,0.487215267905882,90
"gemini-3.1-flash-lite-preview","gpt-5.4-mini",0.483708162642802,0.49416804110331,90
"gemini-3.1-flash-lite-preview","gpt-5.4-nano",0.46909312869684,0.471097011826391,90
"gemini-3.1-flash-lite-preview","grok-2-vision",0.540900032754565,0.532526113083404,90
"gemini-3.1-flash-lite-preview","grok-4-1",0.452396162751067,0.444838019082134,90
"gemini-3.1-flash-lite-preview","grok-4.3",0.430581855040771,0.413002744774753,90
"gpt-4o","gpt-5",0.365605802231424,0.366355059336232,90
"gpt-4o","gpt-5-4",0.560357132268587,0.565901722825683,90
"gpt-4o","gpt-5.1",0.524910059385489,0.528650144789783,90
"gpt-4o","gpt-5.4-mini",0.551559956619228,0.55644385243279,90
"gpt-4o","gpt-5.4-nano",0.513429159787041,0.516534783356273,90
"gpt-4o","grok-2-vision",0.647198852581208,0.640353119725073,90
"gpt-4o","grok-4-1",0.427511860365617,0.42117025040653,90
"gpt-4o","grok-4.3",0.380979902731979,0.369747479418972,90
"gpt-5","gpt-5-4",0.413828870965446,0.418247632362701,90
"gpt-5","gpt-5.1",0.422453929157495,0.42570753072493,90
"gpt-5","gpt-5.4-mini",0.406147523948051,0.408065936331769,90
"gpt-5","gpt-5.4-nano",0.3856615196771,0.393549452325814,90
"gpt-5","grok-2-vision",0.376616684024155,0.382945809368936,90
"gpt-5","grok-4-1",0.380095261950991,0.369923764884406,90
"gpt-5","grok-4.3",0.320388008109894,0.307385376006628,90
"gpt-5-4","gpt-5.1",0.587791542496989,0.599155360830407,90
"gpt-5-4","gpt-5.4-mini",0.671159698405048,0.681964259093123,90
"gpt-5-4","gpt-5.4-nano",0.584911861654575,0.595152172149654,90
"gpt-5-4","grok-2-vision",0.571601863900135,0.567311049609311,90
"gpt-5-4","grok-4-1",0.442880905817958,0.433967710683141,90
"gpt-5-4","grok-4.3",0.431253918335292,0.436594064702503,90
