"","claude-3-7-sonnet","claude-sonnet-4","claude-sonnet-4-6","gemini-2.0-flash-lite","gemini-2.5-flash-lite","gemini-3.1-flash-lite-preview","gpt-4o","gpt-5","gpt-5-4","gpt-5.1","gpt-5.4-mini","gpt-5.4-nano","grok-2-vision","grok-4-1","grok-4.3"
"claude-3-7-sonnet",1,0.648879323264908,0.580258086037555,0.479440602456145,0.601039184149037,0.527403079475775,0.586982954058804,0.404736631341495,0.552327596978813,0.495027763316838,0.53001761388394,0.490170924624808,0.606472870943534,0.450341685427611,0.402945519608851
"claude-sonnet-4",0.648879323264908,1,0.61315837608742,0.462954457332755,0.611603849379577,0.548621969342566,0.58716776009217,0.4178322812345,0.542742211706836,0.518482457918207,0.537921416169057,0.495886744594105,0.609027694204183,0.484859735282954,0.402221781886384
"claude-sonnet-4-6",0.580258086037555,0.61315837608742,1,0.417250320647219,0.587468682680277,0.557573827394721,0.532528711623165,0.39949373468464,0.557067103131899,0.510954527092772,0.531636401635641,0.500594377609667,0.557059567770492,0.490485823441536,0.436330629642311
"gemini-2.0-flash-lite",0.479440602456145,0.462954457332755,0.417250320647219,1,0.485196421971703,0.412231361520804,0.451382030015152,0.319738020931974,0.411992899658885,0.375742361909684,0.407852894005481,0.366488190623119,0.485731460602828,0.319673075345543,0.303752105585163
"gemini-2.5-flash-lite",0.601039184149037,0.611603849379577,0.587468682680277,0.485196421971703,1,0.575623471129018,0.591144150903512,0.380318803873778,0.566995901210985,0.51883494254184,0.544645807584658,0.546211597101824,0.650911892292097,0.471460602763994,0.433736200579717
"gemini-3.1-flash-lite-preview",0.527403079475775,0.548621969342566,0.557573827394721,0.412231361520804,0.575623471129018,1,0.528979523505176,0.365640463877733,0.509369812341743,0.471551359464177,0.483708162642802,0.46909312869684,0.540900032754565,0.452396162751067,0.430581855040771
"gpt-4o",0.586982954058804,0.58716776009217,0.532528711623165,0.451382030015152,0.591144150903512,0.528979523505176,1,0.365605802231424,0.560357132268587,0.524910059385489,0.551559956619228,0.513429159787041,0.647198852581208,0.427511860365617,0.380979902731979
"gpt-5",0.404736631341495,0.4178322812345,0.39949373468464,0.319738020931974,0.380318803873778,0.365640463877733,0.365605802231424,1,0.413828870965446,0.422453929157495,0.406147523948051,0.3856615196771,0.376616684024155,0.380095261950991,0.320388008109894
"gpt-5-4",0.552327596978813,0.542742211706836,0.557067103131899,0.411992899658885,0.566995901210985,0.509369812341743,0.560357132268587,0.413828870965446,1,0.587791542496989,0.671159698405048,0.584911861654575,0.571601863900135,0.442880905817958,0.431253918335292
"gpt-5.1",0.495027763316838,0.518482457918207,0.510954527092772,0.375742361909684,0.51883494254184,0.471551359464177,0.524910059385489,0.422453929157495,0.587791542496989,1,0.565865110164257,0.541392376044576,0.531039309403759,0.440017961151886,0.412668949995932
"gpt-5.4-mini",0.53001761388394,0.537921416169057,0.531636401635641,0.407852894005481,0.544645807584658,0.483708162642802,0.551559956619228,0.406147523948051,0.671159698405048,0.565865110164257,1,0.574726668358008,0.54877674281555,0.434005329997039,0.396918730585499
"gpt-5.4-nano",0.490170924624808,0.495886744594105,0.500594377609667,0.366488190623119,0.546211597101824,0.46909312869684,0.513429159787041,0.3856615196771,0.584911861654575,0.541392376044576,0.574726668358008,1,0.520670433897251,0.440011776794245,0.396426451596373
"grok-2-vision",0.606472870943534,0.609027694204183,0.557059567770492,0.485731460602828,0.650911892292097,0.540900032754565,0.647198852581208,0.376616684024155,0.571601863900135,0.531039309403759,0.54877674281555,0.520670433897251,1,0.43320730879807,0.396777851276682
"grok-4-1",0.450341685427611,0.484859735282954,0.490485823441536,0.319673075345543,0.471460602763994,0.452396162751067,0.427511860365617,0.380095261950991,0.442880905817958,0.440017961151886,0.434005329997039,0.440011776794245,0.43320730879807,1,0.411443810267989
"grok-4.3",0.402945519608851,0.402221781886384,0.436330629642311,0.303752105585163,0.433736200579717,0.430581855040771,0.380979902731979,0.320388008109894,0.431253918335292,0.412668949995932,0.396918730585499,0.396426451596373,0.396777851276682,0.411443810267989,1
