"Model","Exam","N_total","N_NC","N_NA","Pct_NC","Pct_NA"
"Claude37","ACTM",25,6,0,24,0
"Claude37","CAOS",40,6,0,15,0
"Claude37","GE",8,0,0,0,0
"Claude4","ACTM",25,5,0,20,0
"Claude4","CAOS",40,1,0,2.5,0
"Claude4","GE",8,2,0,25,0
"Claude46","ACTM",25,0,0,0,0
"Claude46","CAOS",40,5,0,12.5,0
"Claude46","GE",8,0,0,0,0
"GPT4o","ACTM",25,6,0,24,0
"GPT4o","CAOS",40,1,0,2.5,0
"GPT4o","GE",8,0,0,0,0
"GPT5","ACTM",25,5,2,20,8
"GPT5","CAOS",40,7,0,17.5,0
"GPT5","GE",8,2,1,25,12.5
"GPT51","ACTM",25,6,0,24,0
"GPT51","CAOS",40,1,0,2.5,0
"GPT51","GE",8,0,0,0,0
"GPT54","ACTM",25,0,0,0,0
"GPT54","CAOS",40,1,0,2.5,0
"GPT54","GE",8,0,0,0,0
"GPT54-mini","ACTM",25,3,0,12,0
"GPT54-mini","CAOS",40,0,0,0,0
"GPT54-mini","GE",8,0,0,0,0
"GPT54-nano","ACTM",25,3,0,12,0
"GPT54-nano","CAOS",40,2,0,5,0
"GPT54-nano","GE",8,0,0,0,0
"Gemini20","ACTM",25,1,3,4,12
"Gemini20","CAOS",40,0,11,0,27.5
"Gemini20","GE",8,2,1,25,12.5
"Gemini25","ACTM",25,5,0,20,0
"Gemini25","CAOS",40,0,0,0,0
"Gemini25","GE",8,0,0,0,0
"Gemini31","ACTM",25,3,0,12,0
"Gemini31","CAOS",40,1,0,2.5,0
"Gemini31","GE",8,0,0,0,0
"Grok2-vision","ACTM",25,4,0,16,0
"Grok2-vision","CAOS",40,0,0,0,0
"Grok2-vision","GE",8,0,0,0,0
"Grok41","ACTM",25,2,0,8,0
"Grok41","CAOS",40,0,0,0,0
"Grok41","GE",8,0,0,0,0
"Grok43","ACTM",25,0,0,0,0
"Grok43","CAOS",40,0,0,0,0
"Grok43","GE",8,0,0,0,0
