"Question","Exam","N_models_graded","N_correct","N_wrong","Pct_correct"
13,"GE",15,0,15,0
14,"GE",15,0,15,0
17,"ACTM",15,0,15,0
18,"ACTM",15,0,15,0
19,"ACTM",15,0,15,0
20,"ACTM",15,0,15,0
24,"CAOS",15,0,15,0
5,"CAOS",15,1,14,6.7
7,"CAOS",15,1,14,6.7
9,"CAOS",15,1,14,6.7
2,"CAOS",15,2,13,13.3
3,"CAOS",15,2,13,13.3
11,"GE",15,2,13,13.3
23,"ACTM",15,2,13,13.3
10,"ACTM",15,3,12,20
6,"CAOS",15,4,11,26.7
10,"CAOS",15,4,11,26.7
9,"ACTM",15,6,9,40
11,"ACTM",15,6,9,40
31,"CAOS",15,6,9,40
33,"CAOS",15,6,9,40
12,"CAOS",15,7,8,46.7
34,"CAOS",15,9,6,60
3,"ACTM",15,10,5,66.7
14,"CAOS",15,10,5,66.7
28,"CAOS",15,10,5,66.7
30,"CAOS",15,10,5,66.7
21,"CAOS",15,11,4,73.3
29,"CAOS",15,11,4,73.3
35,"CAOS",15,11,4,73.3
7,"ACTM",15,12,3,80
16,"ACTM",15,12,3,80
6,"ACTM",15,13,2,86.7
9,"GE",15,13,2,86.7
20,"CAOS",15,13,2,86.7
27,"CAOS",15,13,2,86.7
38,"CAOS",15,13,2,86.7
39,"CAOS",15,13,2,86.7
2,"ACTM",15,14,1,93.3
8,"CAOS",15,14,1,93.3
12,"GE",15,14,1,93.3
14,"ACTM",15,14,1,93.3
15,"ACTM",15,14,1,93.3
15,"CAOS",15,14,1,93.3
18,"CAOS",15,14,1,93.3
19,"CAOS",15,14,1,93.3
21,"ACTM",15,14,1,93.3
22,"ACTM",15,14,1,93.3
22,"CAOS",15,14,1,93.3
25,"CAOS",15,14,1,93.3
32,"CAOS",15,14,1,93.3
37,"CAOS",15,14,1,93.3
1,"ACTM",15,15,0,100
1,"CAOS",15,15,0,100
4,"ACTM",15,15,0,100
4,"CAOS",15,15,0,100
5,"ACTM",15,15,0,100
8,"ACTM",15,15,0,100
10,"GE",15,15,0,100
11,"CAOS",15,15,0,100
12,"ACTM",15,15,0,100
13,"ACTM",15,15,0,100
13,"CAOS",15,15,0,100
15,"GE",15,15,0,100
16,"CAOS",15,15,0,100
16,"GE",15,15,0,100
17,"CAOS",15,15,0,100
23,"CAOS",15,15,0,100
24,"ACTM",15,15,0,100
25,"ACTM",15,15,0,100
26,"CAOS",15,15,0,100
36,"CAOS",15,15,0,100
40,"CAOS",15,15,0,100
