"Exam","Question","QuestionID","Mean_Similarity","Median_Similarity","Min_Similarity","Max_Similarity","SD_Similarity","N_pairs"
"GE",6,"GE_SA_6",0.242730606201235,0.238311752204108,0,0.660151084022856,0.137354145654353,105
"ACTM",23,"ACTM_MC_23",0.282198214934026,0.270125567391241,0.0731555572673855,0.686340744534572,0.125821713268908,105
"ACTM",11,"ACTM_MC_11",0.29052072053601,0.28728539497267,0.0433227305948574,0.74171803240848,0.123852774615643,105
"ACTM",10,"ACTM_MC_10",0.300444540459851,0.300836660916577,0.0920128990997727,0.556343899899169,0.0976935910880624,105
"ACTM",17,"ACTM_MC_17",0.302645951947033,0.258613063414942,0,0.751680948180275,0.222876034455486,105
"GE",11,"GE_MC_11",0.339726145339513,0.280435351351413,0,0.84328163782664,0.219841189144126,105
"ACTM",19,"ACTM_MC_19",0.361698230305399,0.412796167731141,0,0.657925895468105,0.184190209013651,105
"GE",13,"GE_MC_13",0.362610661416235,0.353923839705686,0.103864933580281,0.71489204239472,0.117129739933803,105
"GE",16,"GE_MC_16",0.363059552755283,0.337827963798099,0.127037205377846,0.682693596856557,0.113532451985195,105
"CAOS",39,"CAOS_MC_39",0.36600555553928,0.417749980715644,0,0.642493947224394,0.1637219964898,105
"CAOS",30,"CAOS_MC_30",0.366153880330952,0.374183008711995,0.0322503234877978,0.65558571688696,0.160252006422219,105
"ACTM",8,"ACTM_MC_8",0.369798789435542,0.337322293198246,0.10232529737831,0.909284650109218,0.174672125569995,105
"GE",4,"GE_SA_4",0.371615706894923,0.371058170683377,0.216590093875608,0.590132952038676,0.0674146932974282,105
"ACTM",9,"ACTM_MC_9",0.37353313718646,0.406261966118683,0.0601014925673116,0.655119628959203,0.124558716155753,105
"CAOS",13,"CAOS_MC_13",0.374884336442942,0.363003498753554,0.196878850014444,0.65631381499046,0.101565155795369,105
"CAOS",2,"CAOS_MC_2",0.376076339394055,0.390198946977095,0,0.758668359725556,0.234803037488155,105
"CAOS",31,"CAOS_MC_31",0.376447416375618,0.389476283359162,0.0100540587430525,0.71784548339242,0.173412047755571,105
"CAOS",37,"CAOS_MC_37",0.382708287262199,0.399706640343625,0,0.695258614317842,0.196827220389418,105
"CAOS",22,"CAOS_MC_22",0.399303301781259,0.419097546167038,0,0.766363378391664,0.211301369006433,105
"ACTM",16,"ACTM_MC_16",0.399754739972376,0.392044718867727,0.104606978827051,0.867426034572837,0.216630374488655,105
"ACTM",14,"ACTM_MC_14",0.402543713006614,0.44568069455563,0,0.823555399361443,0.201272641118797,105
"CAOS",25,"CAOS_MC_25",0.410087575552484,0.502728038553498,0,1,0.247161801998509,105
"CAOS",6,"CAOS_MC_6",0.411787680616558,0.418872928179434,0.184688397952286,0.707078444343631,0.11315909810284,105
"ACTM",1,"ACTM_MC_1",0.428094932019329,0.418908140351039,0.00559633032510664,0.835583373157035,0.163322705732475,105
"CAOS",1,"CAOS_MC_1",0.429984491707888,0.42417468713104,0.230186385504686,0.730463003364295,0.0945919529085902,105
"CAOS",35,"CAOS_MC_35",0.430507683496354,0.462374322544621,0,0.753587795762352,0.197882387280796,105
"CAOS",32,"CAOS_MC_32",0.433572789627294,0.488320698985145,0,0.814861642111254,0.237743721871057,105
"CAOS",19,"CAOS_MC_19",0.433682118840806,0.471595099026365,0,0.765242242428496,0.206651300124386,105
"CAOS",12,"CAOS_MC_12",0.439674823860141,0.429830651341613,0.229001019362864,0.710857691892282,0.103327903753116,105
"CAOS",17,"CAOS_MC_17",0.441063834509933,0.451495909527908,0.212001411439391,0.67599950469231,0.119470612077797,105
"CAOS",34,"CAOS_MC_34",0.453497428584983,0.426134661287514,0.14349836474127,0.748970893217489,0.125728643760443,105
"ACTM",6,"ACTM_MC_6",0.455007933798219,0.454852874323622,0.176227908599138,0.71952254333363,0.100608806047949,105
"ACTM",24,"ACTM_MC_24",0.455772105312127,0.453700981211356,0.141652099745444,0.843371619625532,0.156231389932085,105
"CAOS",33,"CAOS_MC_33",0.460995569308604,0.417957059250103,0.108785586926447,0.889899783128399,0.223239973188929,105
"CAOS",38,"CAOS_MC_38",0.464029988847096,0.44308223783362,0.193558500011025,0.765085689523492,0.150207231678479,105
"GE",7,"GE_SA_7",0.464768968489035,0.465433781363775,0.221450534001143,0.75562279117045,0.111599678446815,105
"CAOS",11,"CAOS_MC_11",0.465511007516133,0.476469400140201,0.169225031813215,0.703403681106968,0.131824658059769,105
"GE",2,"GE_SA_2",0.467040303125606,0.497721263921112,0.169737895907872,0.691270194668173,0.126334798424909,105
"CAOS",23,"CAOS_MC_23",0.471835524720176,0.471804309548394,0.24683195101255,0.694809535215779,0.101590044758538,105
"CAOS",29,"CAOS_MC_29",0.474624974431505,0.486198380673843,0.130008696428863,0.786104361756455,0.160870698565617,105
"GE",14,"GE_MC_14",0.477578978446985,0.470563989197406,0.199605409787056,0.872860906740571,0.114303313796764,105
"CAOS",15,"CAOS_MC_15",0.477814960804314,0.539123624878841,0,0.855695100341897,0.229360611556839,105
"GE",1,"GE_SA_1",0.478223447473636,0.567367897318151,0,1,0.340419935764483,105
"ACTM",2,"ACTM_MC_2",0.486081644561088,0.483995037203293,0.226307299258146,0.739691012021874,0.101214603514842,105
"ACTM",4,"ACTM_MC_4",0.489942842067134,0.488805182599785,0.168973658170874,0.73824678958161,0.120018038585601,105
"ACTM",12,"ACTM_MC_12",0.490722867314325,0.493969868199673,0.269112811137657,0.688765884184437,0.0871966138295051,105
"ACTM",18,"ACTM_MC_18",0.491984203810825,0.501387109142518,0.147032509174639,0.84326709173469,0.139417325093541,105
"ACTM",22,"ACTM_MC_22",0.492977226048107,0.51809011777199,0,0.857031889583703,0.259560796626789,105
"CAOS",9,"CAOS_MC_9",0.495716498772498,0.539426390163575,0.0415307194365841,0.818977743881346,0.211676017562947,105
"ACTM",5,"ACTM_MC_5",0.506049268646433,0.494867232495289,0.318937061468506,0.796038064717895,0.101799406448196,105
"GE",12,"GE_MC_12",0.506922511939329,0.575392659950229,0,0.882121133143403,0.257439659474025,105
"CAOS",7,"CAOS_MC_7",0.507464865581072,0.522283852672609,0.251322181770334,0.727003716035093,0.0986169229409832,105
"GE",9,"GE_MC_9",0.508042336710672,0.480616508145307,0.242390631524117,0.808033643561137,0.124224206882029,105
"CAOS",27,"CAOS_MC_27",0.510926554347249,0.558497160352556,0,0.870629674372497,0.228441387258653,105
"CAOS",10,"CAOS_MC_10",0.51700374451425,0.521324853643193,0.140982246739729,0.806658883194436,0.167545983551478,105
"CAOS",4,"CAOS_MC_4",0.517459233437348,0.513661785699522,0.299238734869156,0.776065252157809,0.114172088123927,105
"CAOS",5,"CAOS_MC_5",0.518877835785367,0.532454017797876,0.248610051469857,0.821164472031886,0.11695249904862,105
"AP",6,"AP_SA_6",0.523863133680981,0.522556216115512,0.173472687676995,0.823907305113679,0.156873473768067,105
"GE",10,"GE_MC_10",0.524632233779077,0.539548103489466,0.200697025642933,0.789620810402852,0.115802268722024,105
"ACTM",7,"ACTM_MC_7",0.527666227181633,0.581850020781233,0.134719314709724,0.895342621117987,0.203684158842385,105
"CAOS",24,"CAOS_MC_24",0.527860107913393,0.541264022106992,0.271128932978031,0.710179831112638,0.112881964532308,105
"ACTM",21,"ACTM_MC_21",0.530418318269175,0.533304270187439,0.216847311824776,0.873022919220612,0.158251883625524,105
"GE",3,"GE_SA_3",0.531006175195478,0.598734045373538,0,0.912076135207585,0.232044669471131,105
"CAOS",28,"CAOS_MC_28",0.532689676180851,0.517255529380767,0.199367173456027,0.837180998031242,0.151406768055094,105
"CAOS",18,"CAOS_MC_18",0.538336469484699,0.682520919670352,0,0.854572762461163,0.26731442931909,105
"CAOS",16,"CAOS_MC_16",0.541534629212503,0.562718514751881,0.126118487234529,0.829530168585843,0.137662864691001,105
"AP",1,"AP_SA_1",0.54265238372819,0.568504249232008,0.258981846494954,0.760939050648249,0.118689244183628,105
"GE",8,"GE_SA_8",0.543870776211366,0.547071212444928,0.328676914673226,0.768814511471614,0.102584866417688,105
"GE",5,"GE_SA_5",0.548149359147955,0.549777744012507,0.354797349334967,0.813425599676193,0.104088459266805,105
"CAOS",36,"CAOS_MC_36",0.553780589783115,0.556762746135853,0.207519087599107,0.83898249563346,0.148006931884491,105
"ACTM",15,"ACTM_MC_15",0.557378804832233,0.642423163873183,0,0.811749228699219,0.234639613584441,105
"CAOS",26,"CAOS_MC_26",0.558746198856006,0.578556957294166,0.203709070797063,0.761645556453063,0.118238684761835,105
"AP",5,"AP_SA_5",0.569601108616901,0.594217623471657,0.249996592900705,0.852785866876227,0.146451919132412,105
"ACTM",2,"ACTM_SA_2",0.569944289506363,0.612051633012372,0.193563506138471,1,0.209986652827237,105
"ACTM",20,"ACTM_MC_20",0.584145298391679,0.605302569429729,0.184299002348768,0.932373765671323,0.170505033735216,105
"GE",15,"GE_MC_15",0.588687194418907,0.59921440748239,0.332136201781452,0.828299937978556,0.109396753934529,105
"CAOS",14,"CAOS_MC_14",0.588878099703718,0.629561983836957,0.242628006673114,0.873276888391775,0.157193230142283,105
